Type,SKU,Name,Published,Short description,Description,Regular price,Categories,Tags,Stock,Images
simple,ED-006,Edmark Splina Liquid Chlorophyll - 500ml,1,Liquid chlorophyll from white mulberry for inner cleansing.,"Refreshing mint-flavoured liquid chlorophyll from white mulberry leaves. Supports blood cleansing, balances body pH and freshens breath from within. Mix 1 tablespoon in cold water daily - your green inner shower.",480,Detox & Cleansing,"Edmark, chlorophyll, detox, alkalising",50,images/ed-006.jpg
simple,ED-007,Edmark Cafe 73 Sugar-Free Ginseng Coffee - 20 Sachets,1,Sugar-free slimming coffee with ganoderma - diabetic friendly.,"All the rich coffee pleasure with zero sugar, boosted with ganoderma and ginseng. Supports weight-conscious and diabetic-friendly lifestyles without sacrificing taste. Dissolves instantly - perfect for office and travel.",400,Energy & Focus,"Edmark, coffee, sugar free, slimming",50,images/ed-007.jpg
simple,LR-001,Longrich Pi Energy Alkaline Cup 400ml,1,Tourmaline alkaline cup that turns water into weak-alkaline energy water.,"A stainless-steel cup lined with tourmaline stones that mineralises and alkalises drinking water in minutes. Supports hydration, energy and balanced pH on the go. Fill, wait 5 minutes and drink - wellness in every sip.",950,Hydration & Energy,"Longrich, alkaline water, energy cup, hydration",50,images/lr-001.jpg
simple,LR-002,"Longrich Calcium, Magnesium, Zinc & Iron Tablets - 60 Tabs",1,"4-in-1 mineral complex for bones, blood and immunity.","One tablet combines calcium, magnesium, zinc and iron - the four minerals most people lack. Supports strong bones, healthy blood, immunity and everyday energy. Take 1-2 tablets daily with food.",420,Bones & Joints,"Longrich, minerals, calcium, iron, immunity",50,images/lr-002.jpg
simple,LR-003,Longrich Green Tea - 100 Tea Bags,1,Pure natural green tea rich in antioxidants for metabolism.,"High-quality pure green tea with natural catechins and gentle caffeine. Supports metabolism, mental alertness and antioxidant protection. Drink 2-3 cups daily hot or iced - the classic healthy habit.",350,Detox & Cleansing,"Longrich, green tea, antioxidants, metabolism",50,images/lr-003.jpg
simple,LR-004,Longrich Bamboo Charcoal Detox Soap - 100g x 3,1,"Bamboo charcoal soap for deep cleansing, acne and oily skin.","Natural soap infused with bamboo charcoal that draws out dirt, oil and impurities. Helps fight pimples, dark spots and body odour while keeping skin fresh. Lather daily on face and body - suitable for all skin types.",280,Personal Care,"Longrich, soap, charcoal, acne, skincare",50,images/lr-004.jpg
simple,LR-005,Longrich Berry Oil Antioxidant Capsules - 60 Softgels,1,Seabuckthorn berry oil rich in omega-7 for skin and immunity.,"Golden seabuckthorn berry oil with rare omega-7 plus vitamins C and E. Supports glowing skin, immune defences and healthy mucous membranes. Take 2 softgels daily - beauty and immunity from within.",520,Antioxidants,"Longrich, berry oil, omega 7, skin, immunity",50,images/lr-005.jpg
simple,LR-006,Longrich Reishi Mushroom Vitality Capsules - 60 Capsules,1,"Ganoderma reishi extract for immunity, calm and healthy ageing.","Concentrated reishi mushroom extract, revered as the mushroom of longevity. Supports immune balance, restful sleep and calm resilience to stress. Take 2 capsules daily - ancient wisdom for modern life.",580,Immune Support,"Longrich, reishi, immunity, sleep, stress",50,images/lr-006.jpg
simple,LR-007,Longrich Cordyceps Militaris Coffee - 20 Sachets,1,3-in-1 coffee with cordyceps for energy without jitters.,"Smooth instant coffee blended with cordyceps militaris mushroom extract. Enjoy steady energy, focus and stamina without the crash of regular coffee. Just add hot water - your daily performance cup.",450,Energy & Focus,"Longrich, coffee, cordyceps, energy",50,images/lr-007.jpg
simple,DT-001,doTERRA Lemon Essential Oil - 15ml,1,"Uplifting pure lemon oil for mood, cleaning and fresh flavour.","Cold-pressed from lemon rinds, this cheerful oil uplifts mood, freshens any room and cuts grease naturally. Add a drop to water for a zesty detox drink or diffuse for a clean, happy home. A starter-kit must-have.",280,Essential Oils,"doTERRA, essential oil, lemon, mood, cleaning",50,images/dt-001.jpg
simple,DT-002,doTERRA Peppermint Essential Oil - 15ml,1,"Cooling peppermint oil for headaches, focus and fresh breath.","Pure peppermint oil with a powerful cooling effect. Dab on temples for tension relief, inhale for focus, or add to water for digestion and fresh breath. Invigorating and versatile - one bottle, endless uses.",320,Essential Oils,"doTERRA, essential oil, peppermint, focus, headache",50,images/dt-002.jpg
simple,DT-003,doTERRA Lavender Essential Oil - 15ml,1,"Calming lavender oil for sleep, stress and beautiful skin.","The world's most popular essential oil - pure calming lavender. Add to your pillow for deep sleep, to baths for relaxation, or to skincare for a clear, calm complexion. Gentle enough for the whole family.",350,Essential Oils,"doTERRA, essential oil, lavender, sleep, calm",50,images/dt-003.jpg
simple,DT-004,doTERRA Tea Tree Essential Oil - 15ml,1,"Purifying tea tree oil for skin, scalp and natural cleaning.","Potent melaleuca oil prized for its cleansing power. Dab on blemishes, add to shampoo for a healthy scalp, or mix into DIY cleaners. A natural first-aid essential for every home.",320,Essential Oils,"doTERRA, essential oil, tea tree, skin, cleaning",50,images/dt-004.jpg
simple,DT-005,doTERRA On Guard Protective Blend - 15ml,1,"Immune-protective blend of wild orange, clove & cinnamon.","doTERRA's famous protective blend with wild orange, clove and cinnamon. Diffuse daily to purify air and support immune defences, especially in winter. Warming, spicy aroma the whole family loves.",520,Essential Oils,"doTERRA, essential oil, immunity, on guard",50,images/dt-005.jpg
simple,DT-006,doTERRA Deep Blue Soothing Rub - 120ml,1,"Cooling muscle rub for back, joints and post-workout recovery.","A deeply soothing lotion with wintergreen, camphor and blue chamomile. Massage into tired muscles, stiff joints or your lower back for fast cooling relief. A gym bag and office essential for active bodies.",580,Pain & Recovery,"doTERRA, muscle rub, pain relief, recovery",50,images/dt-006.jpg
simple,DT-007,doTERRA Frankincense Essential Oil - 15ml,1,"King of oils - boswellia for mood, meditation and radiant skin.","Pure frankincense, treasured for thousands of years. Diffuse for calm focus and meditation, or add to moisturiser for radiant, youthful-looking skin. Supports cellular health and emotional balance - worth every drop.",950,Essential Oils,"doTERRA, essential oil, frankincense, skin, calm",50,images/dt-007.jpg
simple,HG-001,Healthgarde Aloe Vera Detox Drink - 500ml,1,African-made aloe detox drink for digestion and daily cleansing.,"Proudly African wellness - pure aloe vera drink that supports digestion, regularity and gentle daily detox. Light, refreshing taste with no added sugar. Drink 50ml every morning for a clean, light start.",420,Detox & Cleansing,"Healthgarde, aloe, detox, digestion, african brand",50,images/hg-001.jpg
simple,HG-002,Healthgarde Slimgarde Weight Support - 60 Capsules,1,Green coffee + garcinia formula to support slimming goals.,"An African weight-support blend of green coffee bean, garcinia cambogia and green tea. Supports metabolism and appetite control alongside healthy eating. Take 2 capsules before breakfast daily.",520,Weight Management,"Healthgarde, slimming, green coffee, garcinia",50,images/hg-002.jpg
simple,LG-001,LiveGood Super Greens Daily Detox - 300g,1,"20+ greens, matcha & adaptogens for energy and gut health.","A great-tasting daily greens powder with spirulina, chlorella, matcha, moringa and adaptogens. Supports energy, digestion and immune balance in one scoop. Stir into water or smoothies - membership-quality without the hype.",650,Superfoods,"LiveGood, super greens, detox, energy",50,images/lg-001.jpg
simple,LG-002,LiveGood Collagen Peptides - Unflavoured 300g,1,"Grass-fed collagen types I & III for skin, hair and joints.","Pure hydrolysed collagen peptides that dissolve invisibly into coffee, tea or shakes. Supports firmer skin, stronger hair and nails, and comfortable joints. One scoop daily - the beauty secret of healthy ageing.",720,Beauty & Joints,"LiveGood, collagen, skin, hair, joints",50,images/lg-002.jpg
simple,MT-001,Mannatech Ambrotose Complex - 120g Powder,1,Glyconutrient aloe + gum blend for immune and brain support.,"Pioneering glyconutrient formula with aloe vera gel, arabinogalactan and gums. Clinically studied to support immune function, memory and gut health. Stir 1 scoop into water or juice daily.",1250,Immune Support,"Mannatech, glyconutrients, immunity, memory",50,images/mt-001.jpg
simple,MT-002,Mannatech Manapol Aloe Vera Powder - 60 Capsules,1,Stabilised aloe polysaccharide extract for gut and immune health.,"Concentrated Manapol aloe powder rich in acemannan polysaccharides. Supports gut lining health, digestion and balanced immunity. Take 1-2 capsules daily - premium aloe science in a capsule.",890,Digestive Health,"Mannatech, aloe, gut health, immunity",50,images/mt-002.jpg
simple,NI-001,New Image Alpha Lipid Lifeline Colostrum - 450g,1,Bovine colostrum + probiotics for immunity and gut health.,"New Zealand bovine colostrum with Alpha Lipid protection for maximum absorption, plus probiotics and vitamins. Supports immunity, gut health and recovery. Shake 1.5 scoops with water every morning on an empty stomach.",950,Immune Support,"New Image, colostrum, immunity, gut, probiotics",50,images/ni-001.jpg
