No,SKU,Product Name,Brand / Company,Category,Price (ZAR),Stock,Short Description,Full Description,Tags,Image File
33,NL-005,NeoLife Chelated Cal-Mag Plus - 90 Tablets,NeoLife GNLD,Bones & Joints,460,50,"Chelated calcium + magnesium + D3 for bones, nerves and calm.","Highly absorbable chelated calcium and magnesium with vitamin D3. Supports strong bones and teeth, relaxed muscles and a calm nervous system. Take up to 3 tablets daily with food - great for active people and seniors.","calcium, magnesium, bones, calm",images/nl-005.jpg
34,NL-006,NeoLife Vitamin E 200 IU - 60 Softgels,NeoLife GNLD,Antioxidants,380,50,"Natural mixed tocopherols to protect skin, heart and cells.","Whole-food sourced natural vitamin E with mixed tocopherols for full-spectrum antioxidant protection. Supports heart health, glowing skin and healthy ageing. Take 1 softgel daily with a meal.","vitamin e, skin, heart",images/nl-006.jpg
35,NL-007,NeoLife Fibre Tablets Fruit & Veg - 120 Tablets,NeoLife GNLD,Digestive Health,450,50,"Chewable fruit & veg fibre for fullness, digestion and gut health.","Tasty chewable fibre from 12 fruits and vegetables. Supports comfortable digestion, healthy cholesterol and lasting fullness between meals. Chew 2 tablets with water before meals - an easy way to boost daily fibre.","fibre, digestion, gut health",images/nl-007.jpg
36,TI-001,Tiens Nutrient Super Calcium Powder - 10 Sachets,Tiens,Bones & Joints,480,50,High-absorption bone calcium with vitamins for the whole family.,"Tiens' famous easily-absorbed calcium powder with an ideal calcium-phosphorus ratio plus vitamins. Supports strong bones and teeth for teens, adults and seniors. Dissolve 1 sachet in warm water daily - mild milky taste.","bestseller, calcium, bones",images/ti-001.jpg
37,TI-002,Tiens Super Calcium Powder for Children - 10 Sachets,Tiens,Kids Health,450,50,Kid-friendly calcium with taurine & zinc for growth and brain.,"Specially formulated children's calcium with taurine, zinc and vitamins to support healthy growth, strong teeth and brain development. Sweet cocoa flavour kids love. One sachet daily in warm milk or water.","kids, calcium, growth",images/ti-002.jpg
38,TI-003,Tiens Spirulina Capsules - 100 Capsules,Tiens,Superfoods,520,50,"100% pure spirulina for protein, iron and natural energy.","Premium pure spirulina with rich plant protein, iron, beta-carotene and B-vitamins. Supports energy levels, immunity and healthy blood. Take 4-6 capsules daily - nature's multivitamin from the cleanest waters.","spirulina, iron, energy",images/ti-003.jpg
39,TI-004,Tiens Cordyceps Mycelium Energy Capsules - 100 Capsules,Tiens,Energy & Stamina,680,50,"Cordyceps mushroom for stamina, lungs and immune strength.","Fermented cordyceps mycelium prized in Chinese wellness for centuries. Supports energy, stamina, respiratory health and immune defences. Ideal for athletes, busy professionals and healthy ageing. Take 2-3 capsules twice daily.","cordyceps, stamina, immunity",images/ti-004.jpg
40,TI-005,Tiens Chitosan Fat-Control Capsules - 100 Capsules,Tiens,Weight Management,550,50,Chitosan fibre to help manage fat absorption and weight.,"Natural chitosan fibre that attracts and binds dietary fats, supporting weight management and healthy cholesterol when combined with diet and exercise. Take 2 capsules before oily meals with plenty of water.","slimming, fat blocker, chitosan",images/ti-005.jpg
41,TI-006,Tiens Kaneh Bosm Slimming & Detox Tea - 40 Bags,Tiens,Detox & Cleansing,380,50,5-herb slimming tea that supports metabolism and gentle cleansing.,"A traditional five-herb blend including green tea and senna leaf. Supports metabolism, reduces bloating and gently cleanses the digestive system. Drink 1 cup after dinner - a favourite for flat-tummy routines.","slimming tea, detox, metabolism",images/ti-006.jpg
42,TI-007,Tiens Zinc + Spirulina Immune Capsules - 60 Capsules,Tiens,Immune Support,350,50,"Zinc plus spirulina to support immunity, skin and recovery.","Essential zinc combined with spirulina extract for double immune support. Zinc also supports healthy skin, taste and faster recovery. Take 1-2 capsules daily - especially valuable during season changes and exam stress.","zinc, immunity, skin",images/ti-007.jpg
43,ED-001,Edmark Shake Off Phyto Fiber Colon Cleanse - Pandan 12 Sachets,Edmark,Detox & Cleansing,550,50,"Bestselling 8-hour colon cleanse with roselle, oats & garcinia.","The famous Shake Off drink that flushes toxins and waste from the colon in as little as 6-8 hours. Fibre-rich blend of roselle, oat bran and garcinia for a flatter tummy and lighter feeling. Drink 1 sachet at bedtime.","bestseller, colon cleanse, detox, fibre",images/ed-001.jpg
44,ED-002,Edmark MRT Complex Meal Replacement - Vanilla 550g,Edmark,Weight Management,680,50,Low-GI vanilla shake with L-carnitine for healthy slimming.,"A low glycaemic-index meal replacement with soy protein, vitamins and L-carnitine to support fat burning and lean muscle. Keeps you full for hours with complete nutrition. Replace 1-2 meals daily for best results.","meal replacement, slimming, shake",images/ed-002.jpg
45,ED-003,Edmark Cocollagen Chocolate Collagen Drink - 20 Sachets,Edmark,Beauty & Joints,520,50,Chocolate collagen + cocoa drink for youthful skin and joints.,"Indulgent chocolate drink fortified with marine collagen and cocoa antioxidants. Supports skin elasticity, strong hair and nails, and comfortable joints. Stir 1 sachet into hot water or milk - beauty you can taste.","collagen, skin, chocolate, joints",images/ed-003.jpg
46,ED-004,Edmark Red Yeast Coffee - 20 Sachets,Edmark,Heart Health,420,50,Coffee with red yeast rice to support healthy cholesterol.,"Smooth instant coffee blended with red yeast rice and grape seed extract. A heart-smart way to enjoy your daily cup while supporting healthy cholesterol levels. Just add hot water - rich aroma, wellness in every sip.","coffee, cholesterol, heart",images/ed-004.jpg
47,ED-005,Edmark Ginseng Smart Coffee - 20 Sachets,Edmark,Energy & Focus,450,50,Coffee plus ginseng & ganoderma for focus and stamina.,"Premium coffee boosted with Korean ginseng and ganoderma extracts. Supports mental focus, stamina and immune defence while you enjoy real coffee taste. Your smarter morning cup - just add hot water.","coffee, ginseng, focus, energy",images/ed-005.jpg
48,ED-006,Edmark Splina Liquid Chlorophyll - 500ml,Edmark,Detox & Cleansing,480,50,Liquid chlorophyll from white mulberry for inner cleansing.,"Refreshing mint-flavoured liquid chlorophyll from white mulberry leaves. Supports blood cleansing, balances body pH and freshens breath from within. Mix 1 tablespoon in cold water daily - your green inner shower.","chlorophyll, detox, alkalising",images/ed-006.jpg
49,ED-007,Edmark Cafe 73 Sugar-Free Ginseng Coffee - 20 Sachets,Edmark,Energy & Focus,400,50,Sugar-free slimming coffee with ganoderma - diabetic friendly.,"All the rich coffee pleasure with zero sugar, boosted with ganoderma and ginseng. Supports weight-conscious and diabetic-friendly lifestyles without sacrificing taste. Dissolves instantly - perfect for office and travel.","coffee, sugar free, slimming",images/ed-007.jpg
50,LR-001,Longrich Pi Energy Alkaline Cup 400ml,Longrich,Hydration & Energy,950,50,Tourmaline alkaline cup that turns water into weak-alkaline energy water.,"A stainless-steel cup lined with tourmaline stones that mineralises and alkalises drinking water in minutes. Supports hydration, energy and balanced pH on the go. Fill, wait 5 minutes and drink - wellness in every sip.","alkaline water, energy cup, hydration",images/lr-001.jpg
51,LR-002,"Longrich Calcium, Magnesium, Zinc & Iron Tablets - 60 Tabs",Longrich,Bones & Joints,420,50,"4-in-1 mineral complex for bones, blood and immunity.","One tablet combines calcium, magnesium, zinc and iron - the four minerals most people lack. Supports strong bones, healthy blood, immunity and everyday energy. Take 1-2 tablets daily with food.","minerals, calcium, iron, immunity",images/lr-002.jpg
52,LR-003,Longrich Green Tea - 100 Tea Bags,Longrich,Detox & Cleansing,350,50,Pure natural green tea rich in antioxidants for metabolism.,"High-quality pure green tea with natural catechins and gentle caffeine. Supports metabolism, mental alertness and antioxidant protection. Drink 2-3 cups daily hot or iced - the classic healthy habit.","green tea, antioxidants, metabolism",images/lr-003.jpg
53,LR-004,Longrich Bamboo Charcoal Detox Soap - 100g x 3,Longrich,Personal Care,280,50,"Bamboo charcoal soap for deep cleansing, acne and oily skin.","Natural soap infused with bamboo charcoal that draws out dirt, oil and impurities. Helps fight pimples, dark spots and body odour while keeping skin fresh. Lather daily on face and body - suitable for all skin types.","soap, charcoal, acne, skincare",images/lr-004.jpg
54,LR-005,Longrich Berry Oil Antioxidant Capsules - 60 Softgels,Longrich,Antioxidants,520,50,Seabuckthorn berry oil rich in omega-7 for skin and immunity.,"Golden seabuckthorn berry oil with rare omega-7 plus vitamins C and E. Supports glowing skin, immune defences and healthy mucous membranes. Take 2 softgels daily - beauty and immunity from within.","berry oil, omega 7, skin, immunity",images/lr-005.jpg
55,LR-006,Longrich Reishi Mushroom Vitality Capsules - 60 Capsules,Longrich,Immune Support,580,50,"Ganoderma reishi extract for immunity, calm and healthy ageing.","Concentrated reishi mushroom extract, revered as the mushroom of longevity. Supports immune balance, restful sleep and calm resilience to stress. Take 2 capsules daily - ancient wisdom for modern life.","reishi, immunity, sleep, stress",images/lr-006.jpg
56,LR-007,Longrich Cordyceps Militaris Coffee - 20 Sachets,Longrich,Energy & Focus,450,50,3-in-1 coffee with cordyceps for energy without jitters.,"Smooth instant coffee blended with cordyceps militaris mushroom extract. Enjoy steady energy, focus and stamina without the crash of regular coffee. Just add hot water - your daily performance cup.","coffee, cordyceps, energy",images/lr-007.jpg
57,DT-001,doTERRA Lemon Essential Oil - 15ml,doTERRA,Essential Oils,280,50,"Uplifting pure lemon oil for mood, cleaning and fresh flavour.","Cold-pressed from lemon rinds, this cheerful oil uplifts mood, freshens any room and cuts grease naturally. Add a drop to water for a zesty detox drink or diffuse for a clean, happy home. A starter-kit must-have.","essential oil, lemon, mood, cleaning",images/dt-001.jpg
58,DT-002,doTERRA Peppermint Essential Oil - 15ml,doTERRA,Essential Oils,320,50,"Cooling peppermint oil for headaches, focus and fresh breath.","Pure peppermint oil with a powerful cooling effect. Dab on temples for tension relief, inhale for focus, or add to water for digestion and fresh breath. Invigorating and versatile - one bottle, endless uses.","essential oil, peppermint, focus, headache",images/dt-002.jpg
59,DT-003,doTERRA Lavender Essential Oil - 15ml,doTERRA,Essential Oils,350,50,"Calming lavender oil for sleep, stress and beautiful skin.","The world's most popular essential oil - pure calming lavender. Add to your pillow for deep sleep, to baths for relaxation, or to skincare for a clear, calm complexion. Gentle enough for the whole family.","essential oil, lavender, sleep, calm",images/dt-003.jpg
60,DT-004,doTERRA Tea Tree Essential Oil - 15ml,doTERRA,Essential Oils,320,50,"Purifying tea tree oil for skin, scalp and natural cleaning.","Potent melaleuca oil prized for its cleansing power. Dab on blemishes, add to shampoo for a healthy scalp, or mix into DIY cleaners. A natural first-aid essential for every home.","essential oil, tea tree, skin, cleaning",images/dt-004.jpg
61,DT-005,doTERRA On Guard Protective Blend - 15ml,doTERRA,Essential Oils,520,50,"Immune-protective blend of wild orange, clove & cinnamon.","doTERRA's famous protective blend with wild orange, clove and cinnamon. Diffuse daily to purify air and support immune defences, especially in winter. Warming, spicy aroma the whole family loves.","essential oil, immunity, on guard",images/dt-005.jpg
62,DT-006,doTERRA Deep Blue Soothing Rub - 120ml,doTERRA,Pain & Recovery,580,50,"Cooling muscle rub for back, joints and post-workout recovery.","A deeply soothing lotion with wintergreen, camphor and blue chamomile. Massage into tired muscles, stiff joints or your lower back for fast cooling relief. A gym bag and office essential for active bodies.","muscle rub, pain relief, recovery",images/dt-006.jpg
63,DT-007,doTERRA Frankincense Essential Oil - 15ml,doTERRA,Essential Oils,950,50,"King of oils - boswellia for mood, meditation and radiant skin.","Pure frankincense, treasured for thousands of years. Diffuse for calm focus and meditation, or add to moisturiser for radiant, youthful-looking skin. Supports cellular health and emotional balance - worth every drop.","essential oil, frankincense, skin, calm",images/dt-007.jpg
64,HG-001,Healthgarde Aloe Vera Detox Drink - 500ml,Healthgarde,Detox & Cleansing,420,50,African-made aloe detox drink for digestion and daily cleansing.,"Proudly African wellness - pure aloe vera drink that supports digestion, regularity and gentle daily detox. Light, refreshing taste with no added sugar. Drink 50ml every morning for a clean, light start.","aloe, detox, digestion, african brand",images/hg-001.jpg
65,HG-002,Healthgarde Slimgarde Weight Support - 60 Capsules,Healthgarde,Weight Management,520,50,Green coffee + garcinia formula to support slimming goals.,"An African weight-support blend of green coffee bean, garcinia cambogia and green tea. Supports metabolism and appetite control alongside healthy eating. Take 2 capsules before breakfast daily.","slimming, green coffee, garcinia",images/hg-002.jpg
66,LG-001,LiveGood Super Greens Daily Detox - 300g,LiveGood,Superfoods,650,50,"20+ greens, matcha & adaptogens for energy and gut health.","A great-tasting daily greens powder with spirulina, chlorella, matcha, moringa and adaptogens. Supports energy, digestion and immune balance in one scoop. Stir into water or smoothies - membership-quality without the hype.","super greens, detox, energy",images/lg-001.jpg
67,LG-002,LiveGood Collagen Peptides - Unflavoured 300g,LiveGood,Beauty & Joints,720,50,"Grass-fed collagen types I & III for skin, hair and joints.","Pure hydrolysed collagen peptides that dissolve invisibly into coffee, tea or shakes. Supports firmer skin, stronger hair and nails, and comfortable joints. One scoop daily - the beauty secret of healthy ageing.","collagen, skin, hair, joints",images/lg-002.jpg
68,MT-001,Mannatech Ambrotose Complex - 120g Powder,Mannatech,Immune Support,1250,50,Glyconutrient aloe + gum blend for immune and brain support.,"Pioneering glyconutrient formula with aloe vera gel, arabinogalactan and gums. Clinically studied to support immune function, memory and gut health. Stir 1 scoop into water or juice daily.","glyconutrients, immunity, memory",images/mt-001.jpg
69,MT-002,Mannatech Manapol Aloe Vera Powder - 60 Capsules,Mannatech,Digestive Health,890,50,Stabilised aloe polysaccharide extract for gut and immune health.,"Concentrated Manapol aloe powder rich in acemannan polysaccharides. Supports gut lining health, digestion and balanced immunity. Take 1-2 capsules daily - premium aloe science in a capsule.","aloe, gut health, immunity",images/mt-002.jpg
70,NI-001,New Image Alpha Lipid Lifeline Colostrum - 450g,New Image,Immune Support,950,50,Bovine colostrum + probiotics for immunity and gut health.,"New Zealand bovine colostrum with Alpha Lipid protection for maximum absorption, plus probiotics and vitamins. Supports immunity, gut health and recovery. Shake 1.5 scoops with water every morning on an empty stomach.","colostrum, immunity, gut, probiotics",images/ni-001.jpg
